culture.A,median_dist,mean_dist,sd_dist,max_dist,median_jaccard,mean_jaccard,sd_jaccard,max_jaccard,pearson,kendall,spearman
-,2992459.3269563923,4021304.9347339836,2994887.893456985,11678837.407218885,0.33333333333333326,0.39127857472013317,0.23328427223410658,1,0.10071236516427862,0.004490330547983734,0.00886445658476355
Acheulean - Africa,2173582.5941770202,2586432.116304873,1962224.0158533258,8046448.297965224,0.5,0.5279413573414016,0.26533404772125946,1,-0.02876565893469544,-0.02420049056834202,-0.0335910249001885
Acheulean - Europe,1217914.0609406538,1607871.8517124432,1186287.700046004,4103998.2420845176,0.33333333333333326,0.36644436740828235,0.1982324900940469,1,-0.06282309063069239,-0.016055009160835392,-0.01869070962819859
Acheulean - Levant,0,300567.0707438779,350683.85706183367,1519653.2073069105,0.5,0.5882952621361969,0.3143562510454396,1,0.048466886739262145,0.039761957082046,0.041312710187112814
Acheulean - S Asia,511573.9432002171,511573.9432002171,NA,511573.9432002171,0.4,0.4,NA,0.4,NA,NA,NA
Acheulo-Yabrudian,8813.102352852902,4745.516651536178,4480.503041426815,8813.102352852902,0.35416666666666663,0.37934981684981683,0.17316963753989775,0.75,0.2779355533121679,0.20145574100634508,0.2337844939167142
Ahmarian,292287.6854554763,336003.1006886844,146408.8408753792,677307.5125880757,0.5,0.46859509885825673,0.22958845996749624,1,0.27598295560410097,0.41366734465669236,0.5747831582123419
Amudian,63308.263402178825,63308.263402178825,NA,63308.263402178825,0.5555555555555556,0.5555555555555556,NA,0.5555555555555556,NA,NA,NA
Aterian,1431665.4900018862,1313691.4776316946,908408.3584202267,3874021.693840202,0.5,0.49212084682224455,0.20993797580233026,1,0.034746074785478705,0.0450715198382537,0.06665914905568134
Aurignacian,774144.0959690573,988043.9107204801,967013.2902500043,4759905.827203817,0.41666666666666674,0.4083756933794564,0.18782463805284993,1,-0.015999844433892053,-0.04898851239878412,-0.07681295325258626
Charentian La Ferrassie,88121.33383470288,180396.22647341117,148662.82484429266,419480.1152287107,0.5,0.5509188523894406,0.19676668849382084,0.8333333333333334,0.4265876388955692,0.37345995242538893,0.42953361693347625
Chatelperronian,262041.3167503233,275262.11230389855,147090.21559066314,633150.1556599935,0.6666666666666666,0.6428701131330955,0.1814083698605097,1,-0.09254693557500751,-0.02967231516074224,-0.03998758041999965
Clactonian,1134300.6299108,776271.7068162366,465302.22357810766,1166158.1398578496,0.5,0.49604519774011296,0.23935855738773978,1,-0.1255725922533907,-0.13953639304648688,-0.1708757965686418
Dabban,30413.96813442093,30413.96813442093,0,30413.96813442093,0.8333333333333334,0.7288757608306481,0.2594939240265544,1,NA,NA,NA
Denticulate Mousterian,316744.88489253336,247472.42133224485,167324.48974164587,534926.0217544914,0.4772727272727273,0.4832127659162543,0.19808793454811235,1,0.06693651397866815,0.014448547631476762,0.024998746360921198
Developed Oldowan - Africa,3705.653937760301,569155.71173303,600802.108422348,1202046.1787777476,0.5,0.6230855855855856,0.2213775640913638,1,-0.7963364759577541,-0.49959697581028983,-0.6763768100292121
Early Acheulean - Africa,528637.1226865913,1836559.0178339412,2017591.1932219148,7588347.617346889,0.4,0.46814977387603085,0.23828210927857507,1,-0.15427624538594806,-0.163153061903031,-0.22040590175797145
Early Levalloiso-Mousterian - Levant,108358.48876987612,91490.32266651488,36397.423063665636,118404.55482130352,0.7777777777777778,0.7967532467532468,0.10143684037153335,1,-0.46564818520946577,-0.44798212789481484,-0.5773797289415035
Early Middle Paleolithic - Eurasia,1444884.363957894,2509772.695187017,2216727.381762622,6383731.772455448,0.33333333333333326,0.4243311931514179,0.22740984516577012,1,-0.348112491843748,-0.27227349995993205,-0.3503058767371908
Early MSA,799962.2301600855,1582363.9718681318,1234563.8550718345,3053624.0941490373,0.4285714285714286,0.41973119473119475,0.1651240723529415,0.7142857142857143,-0.12919589565447004,-0.05351284066111421,-0.12077289920361398
Early Upper Paleolithic - Eurasia,3294476.3557412713,3106118.4496275354,2080553.3916902852,6915114.616893979,0.375,0.38641028555412116,0.16352843075833495,1,0.006045747772665127,0.005836089915695885,0.009156815467089071
ELSA,2017270.101367642,1782661.5362397474,1040937.2665518248,3760752.8988195644,0.2857142857142857,0.3079570266334972,0.1392942353378985,1,-0.026572343834572777,0.07724660312546151,0.10681005198793463
Emiran,228759.699004987,228759.699004987,NA,228759.699004987,0.7,0.7,NA,0.7,NA,NA,NA
Epigravettian,911302.8793566386,911302.8793566386,NA,911302.8793566386,0.5,0.5,NA,0.5,NA,NA,NA
ESA,2459890.984892368,2226006.717020204,1127582.0263578997,4329976.690477642,0.5,0.5761904761904761,0.3245257441896772,1,-0.20970756956883094,-0.09476912163453616,-0.12759140100348942
ESA/MSA,3297282.259604486,2319667.3347344007,1524817.387288203,4262379.813030457,0.33333333333333326,0.3924731182795699,0.17217770265142518,1,0.08932413314438971,0.01701391247831418,0.017651476881395494
Fauresmith,131507.93970944552,680384.8151338977,1439919.2820606937,4801894.5537694795,0.33333333333333326,0.4032015065913371,0.2308778579921746,1,0.1454167524973283,0.024283746782809177,0.034834057872373446
Final MSA,726653.1608473238,800429.5100466581,324867.0592099436,1284601.4747330884,0.33333333333333326,0.3976495726495726,0.24769890162141947,1,0.1591740977818571,-0.11655581870109735,-0.11267982770393674
Gravettian,846053.3022843293,950926.2593417786,690089.0399634456,3791709.4075186644,0.4444444444444444,0.43331882815302064,0.20844262692896895,1,-0.08192076118750631,-0.06819191655291344,-0.10052754720106849
Howiesonspoort,615890.7864717132,665522.726813829,361391.2196631059,1531616.0089890265,0.375,0.3885965077698979,0.17985954590858397,1,-0.11527897664816512,-0.09053699190473607,-0.1250602645418178
Hummalian,7213.679415458896,7213.679415458896,0,7213.679415458896,0.36666666666666664,0.37976190476190474,0.08596900926459408,0.5,NA,NA,NA
Initial Upper Paleolithic - Eurasia,341902.8729034689,1341665.8700495271,1822121.8815867,6283590.299935584,0.4545454545454546,0.4222656330295219,0.20030674583209965,1,0.2027897459316687,0.2951864309501924,0.39854666477748385
Karari Industry,11776.518932422132,13510.74467725882,3812.3024214962065,26257.250751742456,0.6666666666666666,0.7830188679245282,0.22783096912372594,1,0.25303935508673814,0.22346331091118943,0.25979815280992574
KBS Industry,6202.014034965747,6168.06271346439,73.86317524629553,6230.9580206991495,1,0.8,0.27386127875258304,1,0.10490062978719089,0,0
Khormusan,0,0,0,0,0.8888888888888888,0.9333333333333333,0.05737753105492472,1,NA,NA,NA
Late Acheulean - Africa,3359956.0781350033,3340299.4902889444,1971353.4208159845,8032753.313913,0.4,0.44316830886598324,0.2105991370611139,1,-0.10793313669721792,-0.06726407158377679,-0.09605113406477502
Late Acheulean - Levant,592898.5122738074,434634.75192392216,255123.6922891007,642712.236336262,0.4,0.4629923574368019,0.21972733467133404,1,-0.7549159987054775,-0.5149429664623049,-0.6776715560646217
Late Acheulean - S Asia,227.75021731453162,218.63856591298304,66.30423033737482,400.7854170847534,0.5,0.43939393939393934,0.11236664374387371,0.6666666666666666,0.9168475270455956,1,1
Late Mousterian - Eurasia,311801.80222005147,472743.25588076987,536837.880912442,2809077.718979456,0.4285714285714286,0.4461206952327171,0.18562018207727687,1,0.12576477911716968,0.05378988527444998,0.07696820873504298
Late MSA,1380097.4739371692,2466814.461346252,2127476.2003157604,5198775.325316558,0.36363636363636365,0.3723446597660434,0.2011171217612533,0.8333333333333334,0.30018767809385644,0.19342268168346224,0.27403677055043724
Late Pleistocene - E Asia,728847.8173278557,807529.6833761414,518924.01174169267,1564762.1530038726,0.33333333333333326,0.49861868411486726,0.25891129018133974,1,0.2023983542305993,0.1885970042577056,0.25638235154177086
Late Sangoan,456416.0750948799,304277.3833965866,263511.9438185014,456416.0750948799,0.25,0.5,0.4330127018922193,1,-1,-1,-1
Levantine Aurignacian,311531.71173123835,280324.0222137794,169920.40596916564,677307.5125880757,0.6153846153846154,0.6115851848409988,0.10537369348189546,1,0.1059479425310231,0.1039206780828618,0.1326826024123594
Lower Paleolithic - Europe,957139.2268257785,1259246.4822879871,888926.6895736919,3518253.052047329,0.5,0.48838630866699956,0.23891452322010012,1,-0.040866581988814925,-0.08311798181297231,-0.11326612455330119
Lower Paleolithic - Levant,468601.77142865234,468601.77142865234,0,468601.77142865234,0.5,0.5,0,0.5,NA,NA,NA
LP/MP Transitional Industries,127859.86581294148,384865.047568413,320541.77891817986,727538.6232423751,0.33333333333333326,0.445578231292517,0.20868531975732205,0.6666666666666666,0.9910102664504211,0.840168050416806,0.9074852129730302
LSA,3808210.3570054164,3901470.051827456,2545072.62435962,7349954.483131845,0.31666666666666665,0.34111265718408573,0.23244597604845632,1,0.0186744408541392,-0.07457502494055003,-0.10246474591469801
Lupemban,1375793.3459773106,2030076.1505680236,1587943.3202790758,5697448.538166815,0.3693181818181818,0.3807463620716633,0.19676081799402995,0.9090909090909091,-0.07188904769595339,0.04854520273987299,0.07329043056932787
Magdalenian,656099.5188051811,656099.5188051811,777922.3102429995,1206173.6596143113,0.2055555555555556,0.2055555555555556,0.13356461422412563,0.30000000000000004,-1,-0.9999999999999998,-0.9999999999999998
Magosian,1120433.1165073058,1998854.9943907326,1506820.1287071938,4428684.283221927,0.33333333333333326,0.31199294532627864,0.09203325789360861,0.5555555555555556,0.08584195350474004,0.008001024196649952,0
Micoquian,579780.3566023369,675009.3689799249,345950.68178733846,1521572.7271994238,0.4545454545454546,0.42595266755102823,0.20906397096898807,0.8571428571428571,0.0017399993802501314,0.0213889408249091,0.023823496699963673
Microlithic - S Asia,1768703.689782075,1768703.689782075,NA,1768703.689782075,0.25,0.25,NA,0.25,NA,NA,NA
Microlithic LSA,72334.77159608788,72334.77159608788,0,72334.77159608788,0.6,0.5333333333333333,0.11547005383792512,0.6,NA,NA,NA
Middle Acheulean - Africa,4634578.546203119,3075615.597861938,2422781.807197854,7358478.014050636,0.5,0.6098924731182795,0.2986809923251765,1,-0.04030137608266897,-0.0433435371832053,-0.05697888498483417
Middle Paleolithic - Africa,523691.45431994216,1146036.4713371287,1214123.188905403,4161852.109141346,0.4,0.4436501300294981,0.20890728273620163,1,-0.2025733388982746,-0.24247336891414392,-0.3377076808730234
Middle Paleolithic - E Asia,977108.1961690142,905945.7416015038,626161.039036775,1586618.189962599,0.4,0.4692982456140351,0.21120342703030112,0.75,-0.9473787110067291,-0.8750236547221628,-0.9442673704375604
Middle Paleolithic - Eurasia,976226.0622890217,1838677.519888877,1863095.5941902,8303921.832868948,0.33333333333333326,0.37855018524174916,0.1897905822917053,1,0.01183263834454157,0.014730234963532391,0.02139685189318706
Middle Paleolithic - Levant,203006.02865682944,143889.54533960292,86555.69649810577,203006.02865682944,0.11111111111111116,0.1542403628117914,0.1120518305128434,0.6666666666666666,-0.10772627923542934,-0.7939284123368042,-0.9019909556473457
Middle Paleolithic - S Asia,1087011.7860044863,971381.3457445841,513318.0618835125,1656763.6859306497,0.33333333333333326,0.3933673469387755,0.15816130707343573,0.8,-0.41271758386904084,-0.25765969133549116,-0.2887152733702855
Middle Pietersburg,256899.4041985768,256899.4041985768,NA,256899.4041985768,0.75,0.75,NA,0.75,NA,NA,NA
Middle Pleistocene - E Asia,1570019.8097944057,1434307.3566072562,232052.48283389173,1570019.8097944057,0.5,0.6111111111111112,0.22047927592204922,1,-0.34888816443156506,-0.5976143046671968,-0.6185895741317419
Mousterian - Eurasia,879208.4156722475,1135447.803040398,961366.4869646304,6872718.693062808,0.4,0.4117054945929416,0.1947069071411028,1,-0.06122154529539692,-0.04152347901843275,-0.061982626657495286
Mousterian - Levant,448714.11364127183,1170633.7606543782,1346097.5580599438,4728368.695930105,0.5,0.4582596243222273,0.2261740004049988,1,-0.008629513940361716,-0.03793397552939612,-0.060330072546337314
Mousterian of Acheulean Tradition,146447.05804109958,195328.526310656,217782.84667142364,1035927.6000691501,0.4545454545454546,0.47427986035128894,0.15671927911192804,1,-0.04097011702201165,-0.07625756121817462,-0.12716484280078585
MSA,1890418.6806770233,2301224.176714628,1609102.9130518145,7657821.664554966,0.33333333333333326,0.353359778652073,0.18432318581888324,1,-0.11577019446177296,-0.08527509438765656,-0.12311557103181749
MSA 1,1446213.3141344637,1305997.2135977414,338038.1165000619,1446213.3141344637,0.33333333333333326,0.4392207792207792,0.249864162535963,1,-0.2270326627173978,-0.30321636381675326,-0.34728401781850243
MSA 2a,1199299.5186745469,685330.7867291996,608139.2446014291,1199315.9471623956,0.2222222222222222,0.28959664673950386,0.20025634506141593,1,-0.14692154245664424,-0.057711282304789925,-0.06088244396365649
MSA 2b,93818.05846999625,397895.6112904099,465303.34127049136,1322142.0002735439,0.33333333333333326,0.37922092715291245,0.1771684293560565,1,-0.04793402730476041,-0.01908940888413646,-0.025977161506663127
MSA/LSA,1648932.196847411,1833409.5979449118,1102560.4514861,3671084.544024066,0.33333333333333326,0.3709138141002895,0.169479723512717,1,-0.15947418897978652,-0.12111311117133444,-0.17150145135068187
Oldowan - Africa,1430483.8582997422,1881954.8246684389,1747544.3318333277,7333994.939131633,0.6666666666666666,0.7141076351432338,0.28618668994912,1,0.02466598771595658,-0.053030812137219586,-0.06485449147075162
Oldowan - Europe,6373206.356776141,5262428.868926831,2035241.6612293622,6373206.356776141,1,0.7916666666666666,0.25,1,-0.2044205122131052,-0.17166650155199775,-0.18079302171323208
Oldowan - Levant,1120584.2771085482,1106122.581373377,259284.55012324423,1388565.4114221644,0.125,0.4166666666666667,0.45184805705753195,1,0.04320342782754602,0,0
Pietersburg,391411.812127743,436801.0108844762,188290.81250091703,627565.0059721837,0.2857142857142857,0.33963585434173665,0.13176947779402956,0.5,-0.5097857966709667,-0.47336463120312866,-0.5457695904961087
Post-Howiesonspoort,585382.5665446797,624763.2085984864,379046.69157358055,1437026.174886892,0.4285714285714286,0.43686225012491814,0.1940808509912593,1,-0.27986151380223284,-0.19805159212194362,-0.28326559617620145
Pre-Howiesonspoort,683023.8632533373,598877.0773658664,481975.33533470175,1257388.827780989,0.2222222222222222,0.28145393878152497,0.2091162155257723,1,0.2790600084899998,0.06702163615081855,0.07357544156502045
Pre-Still Bay,711606.7503322958,505236.67719108186,349504.81579351,996701.3577721346,0.33333333333333326,0.38120915032679736,0.27431005415356413,1,0.1668494665795907,0.17801744656468688,0.19571627921082793
Proto-Aurignacian,616731.8645614589,621128.9377873394,371882.54624628235,1387057.565786417,0.5714285714285714,0.5610495887013055,0.16516227597786004,1,-0.06877487647072762,-0.04524553934038441,-0.07115381963343785
Robberg,951675.9630656521,679133.0257817883,476675.4621355289,1133572.1699243863,0.4,0.4483193277310924,0.16630064976555256,0.7142857142857143,-0.8314790041275862,-0.75,-0.8551816901641545
Sangoan,2631039.9637640794,1871956.5970069608,1297133.61939842,3410722.5385022815,0.29285714285714287,0.3413499102523493,0.18658977529866952,1,-0.31676452964520696,-0.17418697798245003,-0.2640229472684589
Solutrean,250506.4621077712,219918.07300704328,170191.1514116258,763575.4704936786,0.5454545454545454,0.5427911230440033,0.1626040989368472,1,-0.5267475297404839,-0.3706802601167387,-0.5038572534005105
Still Bay,521454.08875317697,637479.5084314493,486856.82844498364,1380097.4739371692,0.375,0.4053909255095612,0.2061966944159043,1,-0.10781578931718927,-0.053056727529961246,-0.06967468598521366
Szeletian,314660.9655054629,291397.6989858255,127987.50152798653,481994.44293868815,0.36363636363636365,0.4225974025974026,0.1256509446524617,0.6,0.8932636474218478,0.8249579113843055,0.8651809126974003
Uluzzian,476180.2835170853,483374.38679568336,313816.8819521854,1321670.013230374,0.4580419580419581,0.4680505692224442,0.1461843712846906,0.8571428571428571,-0.034849853429617085,-0.053201817906398885,-0.07788964027506615
Upper Paleolithic - Africa,2724475.6648007385,2409379.170972191,1714191.776882585,4161852.109141346,0.2222222222222222,0.2764346764346764,0.16452429103226948,1,-0.3943208792720318,-0.16548475682653419,-0.23219520460936813
Upper Paleolithic - E Asia,1162414.370192129,1063840.6699408293,605521.62627038,2987003.8129011,0.4,0.4282789990890549,0.2081875286549867,1,0.0036245966363562237,0.005999950229818646,0.013911176973031925
Upper Paleolithic - Eurasia,2965026.235812311,3192073.456623105,1933991.8212643296,7397346.274935649,0.375,0.397931243429316,0.1779006144343303,1,-0.0010012215646520817,1.0485479760545102e-5,-7.297663280573318e-5
Upper Paleolithic - Levant,368607.4811500823,433560.6488157,301429.5612041748,1336003.6610457937,0.5,0.4935086796019272,0.22662812724893439,1,0.006852553820963043,-0.02840671227424822,-0.0780079454639982
Victoria West,852781.0979151061,577267.2168774132,418605.1881490104,897630.4263221003,0.1428571428571428,0.3071428571428571,0.3874218156806688,1,0.36783116783300857,0,0
